URL,epigram,book,manuscripts,texts,keywords,scholia,comments
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:1.113/,1.113,1,True,4,0,1,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:1.114/,1.114,1,True,3,0,1,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:1.115/,1.115,1,True,4,0,1,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:1.116/,1.116,1,True,4,0,2,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:1.117/,1.117,1,True,4,0,1,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:1.118/,1.118,1,True,3,0,1,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:1.119/,1.119,1,True,3,0,1,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:1.120/,1.120,1,True,3,0,1,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:1.121/,1.121,1,True,3,0,1,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:1.122/,1.122,1,True,3,1,2,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:1.123/,1.123,1,True,4,0,1,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:2.1/,2.1,2,False,2,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:2.1a/,2.1a,2,False,2,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:2.1b/,2.1b,2,False,2,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:2.1c/,2.1c,2,False,2,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:2.1d/,2.1d,2,False,2,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:2.1e/,2.1e,2,False,2,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:2.1f/,2.1f,2,False,2,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:2.1g/,2.1g,2,False,2,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:2.1h/,2.1h,2,False,2,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:2.1i/,2.1i,2,False,2,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:3.1/,3.1,3,False,1,0,2,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:3.2/,3.2,3,False,1,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:3.3/,3.3,3,False,1,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:3.4/,3.4,3,False,1,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:3.5/,3.5,3,False,1,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:3.6/,3.6,3,False,1,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:3.7/,3.7,3,False,1,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:3.8/,3.8,3,False,1,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:3.9/,3.9,3,False,1,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:3.10/,3.10,3,False,1,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:3.11/,3.11,3,False,1,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:3.12/,3.12,3,False,1,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:3.13/,3.13,3,False,1,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:3.14/,3.14,3,False,1,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:3.15/,3.15,3,False,1,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:3.16/,3.16,3,False,1,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:3.17/,3.17,3,False,1,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:3.18/,3.18,3,False,1,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:3.19/,3.19,3,False,1,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:4.1/,4.1,4,True,6,53,6,34
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:4.2/,4.2,4,True,7,19,3,1
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:4.3/,4.3,4,True,5,20,2,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:4.4/,4.4,4,True,1,0,0,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:4.5/,4.5,4,True,5,8,1,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.0/,5.0,5,True,3,1,2,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.1/,5.1,5,True,6,7,0,2
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.2/,5.2,5,True,7,9,1,3
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.3/,5.3,5,True,6,8,2,1
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.4/,5.4,5,True,6,9,2,2
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.5/,5.5,5,True,5,8,2,2
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.6/,5.6,5,True,7,8,2,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.7/,5.7,5,True,7,9,2,2
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.8/,5.8,5,True,9,8,2,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.9/,5.9,5,True,9,6,2,1
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.10/,5.10,5,True,6,8,2,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.11/,5.11,5,True,3,8,1,1
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.12/,5.12,5,True,6,9,2,2
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.13/,5.13,5,True,3,9,3,2
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.14/,5.14,5,True,4,7,2,1
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.15/,5.15,5,True,5,8,2,1
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.16/,5.16,5,True,5,11,2,4
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.17/,5.17,5,True,9,10,2,5
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.18/,5.18,5,True,8,10,2,3
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.19/,5.19,5,True,9,7,2,3
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.20/,5.20,5,True,6,8,2,1
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.21/,5.21,5,True,8,7,2,1
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.22/,5.22,5,True,5,9,2,3
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.23/,5.23,5,True,5,9,2,2
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.24/,5.24,5,True,6,9,2,1
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.25/,5.25,5,True,5,10,2,2
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.26/,5.26,5,True,5,6,2,2
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.27/,5.27,5,True,8,7,2,0
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.28/,5.28,5,True,6,7,2,1
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.29/,5.29,5,True,6,8,1,2
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:5.30/,5.30,5,True,8,10,2,2
